id,title,summary,authors,primary_category,categories
gr-qc/0001004v1,"Ricci Collineations of the Bianchi Type II, VIII, and IX Space-times","Ricci and contracted Ricci collineations of the Bianchi type II, VIII, and IX space-times, associated with the vector fields of the form (i) one component of $\xi^a(x^b)$ is different from zero and (ii) two components of $\xi^a(x^b)$ are different from zero, for $a,b=1,2,3,4$, are presented. In subcase (i.b), which is $\xi^a= (0,\xi^2(x^a),0,0)$, some known solutions are found, and in subcase (i.d), which is $\xi^a =(0,0,0,\xi^4(x^a))$, choosing $S(t)=const.\times R(t)$, the Bianchi type II, VIII, and IX space-times is reduced to the Robertson-Walker metric.",İ Yavuz; U. Camcı,gr-qc,gr-qc
cond-mat/0001022v4,"Universal Transverse Conductance between Quantum Hall Regions and (2+1)D
  Bosonization","Using bosonization techniques for (2+1)D systems, we show that the transverse conductance for a system with general current interactions, when measured between perfect Hall regions is not renormalized at low temperatures. Our method extends and combines two results we have recently obtained on low dimensional fermionic systems: on the one hand, the relationship between universality of Landauer conductance and universality of bosonization rules for (1+1)D systems, and on the other hand, the universal character of the bosonized topological current associated to a (2+1)D fermionic system with current interaction.",Daniel G. Barci; L. E. Oxman,cond-mat.mes-hall,cond-mat.mes-hall; hep-th
hep-ph/0001019v1,Neutralino Proton Cross Sections In Supergravity Models,"The neutralino-proton cross section is examined for supergravity models with R-parity invariance with universal and non-universal soft breaking. The region of parameter space that dark matter detectors are currently (or will be shortly) sensitive i.e. $(0.1-10)\times 10^{-6}$ pb, is examined. For universal soft breaking (mSUGRA), detectors with sensitivity $\sigma_{\tilde{\chi}_{1}^{0}-p} \geq 1 \times 10^{-6}$ pb will be able to sample parts of the parameter space for $\tan \beta \stackrel{>}{\sim} 25$. Current relic density bounds restrict $m_{\tilde{\chi}_{1}^{0}} \leq 120$ GeV for the maximum cross sections, which is below where astronomical uncertainties about the Milky Way are relevant. Nonuniversal soft breaking models can allow much larger cross sections and can sample the parameter space for $\tan \beta \stackrel{>}{\sim} 4$. In such models, $m_0$ can be quite large reducing the tension between proton decay bounds and dark matter analysis. We note the existance of two new domains where coannihilation effects can enter, i.e. for mSUGRA at large $\tan \beta$, and for nonuniversal models with small $\tan \beta$.",E. Accomando; R. Arnowitt; B. Dutta; Y. Santoso,hep-ph,hep-ph; astro-ph
math-ph/0001004v1,Solving second order equations by extending the PS method,"An extension of the ideas of the Prelle-Singer procedure to second order differential equations is proposed. As in the original PS procedure, this version of our method deals with differential equations of the form y''={M(x,y,y')}/{N(x,y,y')}, where M and N are polynomials with coefficients in the field of complex numbers C. The key to our approach is to focus not on the final solution but on the first-order invariants of the equation. Our method is an attempt to address algorithmically the solution of SOODEs whose first integrals are elementary functions of x, y and y'.",L. G. S. Duarte; L. A. da Mota; J. E. F. Skea,math-ph,math-ph; math.CA; math.MP
cond-mat/0001023v1,Extinction transition in bacterial colonies under forced convection,"We report the spatio-temporal response of {\it Bacillus subtilis} growing on a nutrient-rich layer of agar to ultra-violet (UV) radiation. Below a crossover temperature, the bacteria are confined to regions that are shielded from UV radiation. A forced convection of the population is effected by rotating a UV radiation shield relative to the petri dish. The extinction speed at which the bacterial colony lags behind the shield is found to be qualitatively similar to the front velocity of the colony growing in the absence of the hostile environment as predicted by the model of Dahmen, Nelson and Shnerb. A quantitative comparison is not possible without considering the slow dynamics and the time-dependent interaction of the population with the hostile environment.",T. Neicu; A. Pradhan; D. A. Larochelle; A. Kudrolli,cond-mat,cond-mat; q-bio
cond-mat/0001024v2,Superconductivity in Ferromagnetic RuSr_2GdCu_2O_8,"The phase diagram of temperature versus exchange field is obtained within a BCS model for d-wave superconductivity in CuO_2 layers which is coupled to ferromagnetic RuO_2 layers in RuSr_2GdCu_2O_8. It is found that the Fulde-Ferrell-Larkin-Ovchinnikov state is very sensitive to the band filling factor. For strong exchange field, we point out that superconductivity could only exist in the interfaces between ferromagnetic domains. The magnetization curve is calculated and its comparison with experiment is discussed. We also propose the measuring of tunneling conductance near a single unitary impurity to detect the strength of the exchange interaction.",Jian-Xin Zhu; C. S. Ting; C. W. Chu,cond-mat.supr-con,cond-mat.supr-con
hep-lat/0001001v2,Optimizing Chirality and Scaling of Lattice Fermions,"If we construct a lattice fermion formulation, there are a number of goals to be considered: doubling should be avoided; even at finite lattice spacing, we want to represent chiral symmetry in a sound way; and we are seeking a good scaling behavior. Conceptually we have to require locality, and for practical purposes we even desire a high level of locality. A further issue is a good approximation to rotation invariance. Last but not least the formulation should be simple enough to allow for efficient simulations. Here we report on a construction, which is designed to do justice to all of these goals.",W. Bietenholz,hep-lat,hep-lat
nlin/0001003v1,"On Soliton-type Solutions of Equations Associated with N-component
  Systems","The algebraic geometric approach to $N$-component systems of nonlinear integrable PDE's is used to obtain and analyze explicit solutions of the coupled KdV and Dym equations. Detailed analysis of soliton fission, kink to anti-kink transitions and multi-peaked soliton solutions is carried out. Transformations are used to connect these solutions to several other equations that model physical phenomena in fluid dynamics and nonlinear optics.",Mark S. Alber; Gregory G. Luther; Charles A. Miller,nlin.PS,nlin.PS; nlin.SI
math/0001010v1,Open sets satisfying systems of congruences,"A famous result of Hausdorff states that a sphere with countably many points removed can be partitioned into three pieces A,B,C such that A is congruent to B (i.e., there is an isometry of the sphere which sends A to B), B is congruent to C, and A is congruent to (B union C); this result was the precursor of the Banach-Tarski paradox. Later, R. Robinson characterized the systems of congruences like this which could be realized by partitions of the (entire) sphere with rotations witnessing the congruences. The pieces involved were nonmeasurable. In the present paper, we consider the problem of which systems of congruences can be satisfied using open subsets of the sphere (or related spaces); of course, these open sets cannot form a partition of the sphere, but they can be required to cover ""most of"" the sphere in the sense that their union is dense. Various versions of the problem arise, depending on whether one uses all isometries of the sphere or restricts oneself to a free group of rotations (the latter version generalizes to many other suitable spaces), or whether one omits the requirement that the open sets have dense union, and so on. While some cases of these problems are solved by simple geometrical dissections, others involve complicated iterative constructions and/or results from the theory of free groups. Many interesting questions remain open.",Randall Dougherty,math.MG,math.MG; 52B45
nlin/0001004v1,On Peakon Solutions of the Shallow Water Equation,A new parameterization of the Jacobi inversion problem is used along with the dynamics of the peaks to describe finite time interaction of peakon weak solutions of the Shallow Water equation.,Mark S. Alber; Charles A. Miller,nlin.PS,nlin.PS; nlin.SI
astro-ph/0001022v1,"A multipole-Taylor expansion for the potential of gravitational lens MG
  J0414+0534","We employ a multipole-Taylor expansion to investigate how tightly the gravitational potential of the quadruple-image lens MG J0414+0534 is constrained by recent VLBI observations. These observations revealed that each of the four images of the background radio source contains four distinct components, thereby providing more numerous and more precise constraints on the lens potential than were previously available. We expand the two-dimensional lens potential using multipoles for the angular coordinate and a modified Taylor series for the radial coordinate. After discussing the physical significance of each term, we compute models of MG J0414+0534 using only VLBI positions as constraints. The best-fit model has both interior and exterior quadrupole moments as well as exterior m=3 and m=4 multipole moments. The deflector centroid in the models matches the optical galaxy position, and the quadrupoles are aligned with the optical isophotes. The radial distribution of mass could not be well constrained. We discuss the implications of these models for the deflector mass distribution and for the predicted time delays between lensed components.",Catherine S. Trotter; Joshua N. Winn; Jacqueline N. Hewitt,astro-ph,astro-ph
math/0001009v1,Solutions to congruences using sets with the property of Baire,"Hausdorff's paradoxical decomposition of a sphere with countably many points removed (the main precursor of the Banach-Tarski paradox) actually produced a partition of this set into three pieces A,B,C such that A is congruent to B (i.e., there is an isometry of the set which sends A to B), B is congruent to C, and A is congruent to (B union C). While refining the Banach-Tarski paradox, R. Robinson characterized the systems of congruences like this which could be realized by partitions of the sphere with rotations witnessing the congruences. The purpose of the present paper is to characterize those systems of congruences which can be satisfied by partitions of the sphere or related spaces (any complete metric space acted on in a sufficiently free way by a free group of homeomorphisms) into sets with the property of Baire. Dougherty and Foreman proved that the Banach-Tarski paradox can be achieved using such sets, and gave versions of this result using open sets and related results about partitions of spaces into congruent sets. The same methods are used here. We also characterize the systems solvable on the sphere using sets with the property of Baire but allowing all isometries (instead of just rotations).",Randall Dougherty,math.MG,"math.MG; math.LO; 52B45 (Primary), 03E25, 04A25, 54E52 (Secondary)"
astro-ph/0001023v1,Studies of Low-Mass Star Formation with ALMA,"ALMA will revolutionize the study of star formation by providing a combination of angular resolution and sensitivity that far exceeds that of present instruments. I will focus on studies of relatively isolated cores that are forming low-mass stars. There is a general paradigm for the formation of such stars, and there are detailed theoretical predictions for the evolution of the density and velocity fields for different assumptions about the initial conditions. Because the theory is well developed, observational tests are particularly revealing. The primary probes of physical conditions in these regions are discussed and the sensitivity of ALMA to these probes is shown and compared to the current state of the art. The consequences for the ALMA requirements are discussed.",Neal J. Evans II,astro-ph,astro-ph
hep-ph/0001005v1,Re-Evaluation of the Elastic Scattering of Supersymmetric Dark Matter,"We examine the cross sections for the elastic scattering of neutralinos $\chi$ on nucleons $p,n$, as functions of $m_\chi$ in the constrained minimal supersymmetric standard model. We find narrow bands of possible values of the cross section, that are considerably lower than some previous estimates. The constrained model is based on the minimal supergravity-inspired framework for the MSSM, with universal scalar and gaugino masses $m_0, m_{1/2}$, and $\mu$ and the MSSM Higgs masses treated as dependent parameters. We explore systematically the region of the $(m_{1/2}, m_0)$ plane where LEP and other accelerator constraints are respected, and the relic neutralino density lies in the range $0.1 \le \Omega_{\chi} h^2 \le 0.3$ preferred by cosmology. We update previous discussions of both the spin-independent and -dependent scattering matrix elements on protons and neutrons, using recent analyses of low-energy hadron experiments.",John Ellis; Andrew Ferstl; Keith A. Olive,hep-ph,hep-ph; astro-ph
hep-th/0001002v1,Domain Walls and Massive Gauged Supergravity Potentials,"We point out that massive gauged supergravity potentials, for example those arising due to the massive breathing mode of sphere reductions in M-theory or string theory, allow for supersymmetric (static) domain wall solutions which are a hybrid of a Randall-Sundrum domain wall on one side, and a dilatonic domain wall with a run-away dilaton on the other side. On the anti-de Sitter (AdS) side, these walls have a repulsive gravity with an asymptotic region corresponding to the Cauchy horizon, while on the other side the runaway dilaton approaches the weak coupling regime and a non-singular attractive gravity, with the asymptotic region corresponding to the boundary of spacetime. We contrast these results with the situation for gauged supergravity potentials for massless scalar modes, whose supersymmetric AdS extrema are generically maxima, and there the asymptotic regime transverse to the wall corresponds to the boundary of the AdS spacetime. We also comment on the possibility that the massive breathing mode may, in the case of fundamental domain-wall sources, stabilize such walls via a Goldberger-Wise mechanism.",M. Cvetic; H. Lu; C. N. Pope,hep-th,hep-th
cond-mat/0001025v1,"Colossal electroresistance and electronic phase separation in
  mixed-valent manganites","The sensitivity of transport in CMR manganite to external fields is examined using a PZT-based field effect configuration with a La0.7Ca0.3MnO3 channel subjected to electric and magnetic fields, separately and in conjugation. We not only find a colossal electroresistance (CER) of ~76% at 4X10^5 V/cm, but also a remarkable complimentarity of this CER with the widely studied CMR. Specifically, the ERmax (MRmax) of the system is largely independent of the magnetic (electric) field biasing, and for equal conductivity values, the ER (MR) is lower (higher) for T<Tp than that for T>Tp. The size and systematics of the effect strongly favor a percolative phase separation picture.",T. Wu; S. B. Ogale; J. E. Garrison; B. Nagaraj; Z. Chen; R. L. Greene; R. Ramesh; T. Venkatesan; A. J. Millis,cond-mat.str-el,cond-mat.str-el
astro-ph/0001024v1,"Physical Conditions, Grain Temperatures, and Enhanced Very Small Grains
  in the Barnard Loop","We derive the radio spectral index of the Barnard Loop (BL) from large-scale radio surveys at four frequencies and find it to be a thermal source. We use the radio data together with H-alpha data to determine the electron temperature in BL, the lambda-Ori HII region, and a high-latitude filament; all of these regions are somewhat cooler than typical HII regions.   We perform least squares fits of the DIRBE diffuse IR intensities to the 21-cm line and radio continuum intensities. After the resolution of a ``geometrical conundrum'', this allows us to derive the electron density n_e; we find n_e ~ 2.0 cm^{-3} and pressure (P/k) ~ 24000 cm^{-3} K.   Grains within BL are warmer than in HI regions. Trapped L-alpha accounts for the extra heating that is required. This is a general effect that needs to be accounted for in all analyses that examine IR emission from H^+ regions. Very small grains that emit 60 micron radiation are enhanced in BL relative to HI by a factor of 2-3, while PAH's that emit 12 micron are probably deficient by a factor ~2.",Carl Heiles; L. M. Haffner; R. J. Reynolds; S. L. Tufte,astro-ph,astro-ph
hep-ph/0001020v1,The Xi(2230) Meson and The Pomeron Trajectory,"We examine the possibility that the xi(2230) meson is a member of the Pomeron trajectory. A method of connecting the xi --> p pbar decay width and the pp cross sections through the Pomeron residue function is presented. We have used a relativistic, singularity-free form factor to make the analytic continuation of the residue function between crossed channels. We predict that if the xi(2230) meson is a Pomeron, then it should have a xi --> p pbar decay width of about 2 MeV.",L. C. Liu; Wei-hsing Ma,hep-ph,hep-ph
math/0001011v1,Computing special values of partial zeta functions,"We discuss computation of the special values of partial zeta functions associated to totally real number fields. The main tool is the \emph{Eisenstein cocycle} $\Psi $, a group cocycle for $GL_{n} (\Z )$; the special values are computed as periods of $\Psi $, and are expressed in terms of generalized Dedekind sums. We conclude with some numerical examples for cubic and quartic fields of small discriminant.",Gautam Chinta; Paul E. Gunnells; Robert Sczech,math.NT,"math.NT; 11F20, 11F75, 11R42, 11Y40"
astro-ph/0001025v1,"Resonant capture, counter-rotating disks, and polar rings","We suggest that polar rings and/or counter-rotating disks in flattened galaxies can be formed from stars captured at the Binney resonance, where the rate of precession of the angular momentum vector of a disk star equals the pattern speed of a triaxial halo. If the halo pattern speed is initially retrograde and slowly decays to zero, stars can be trapped as the Binney resonance sweeps past them, and levitated into polar orbits. If the halo pattern speed is initially retrograde and slowly changes to prograde, trapped stars can evolve from prograde to retrograde disk orbits. The stellar components of polar rings formed by this process should consist of two equal, counter-rotating star streams.",Scott Tremaine; Qingjuan Yu,astro-ph,astro-ph
astro-ph/0001026v3,The Central X-Ray Point Source in Cassiopeia A,"The spectacular first light observation by the Chandra X-Ray Observatory revealed an X-ray point source near the center of the 300 yr old Cas A supernova remnant. We present an analysis of the public X-ray spectral and timing data. No coherent pulsations were detected in the Chandra/HRC data. The 3-sigma upper limit on the pulsed fraction is <35% for P>20 ms. The Chandra/ACIS spectrum of the point source may be fit with an ideal blackbody (kT=0.5 keV), or with BB models modified by the presence of a NS atmosphere (kT=0.25-0.35 keV), but the temperature is higher and the inferred emitting area lower than expected for a 300 yr old NS according to standard cooling models. The spectrum may also be fit with a power law model (photon index 2.8-3.6). Both the spectral properties and the timing limits of the point source are inconsistent with a young Crab-like pulsar, but are quite similar to the properties of the anomalous X-ray pulsars. The spectral parameters are also very similar to those of the other radio-quiet X-ray point sources in the supernova remnants Pup A, RCW 103, and PKS 1209-52. Current limits on an optical counterpart for the Cas A point source rule out models that invoke fallback accretion onto a compact object if fallback disk properties are similar to those in quiescent low-mass X-ray binaries. However, the optical limits are marginally consistent with plausible alternative assumptions for a fallback disk. In this case, accreting NS models can explain the X-ray data, but an accreting BH model is not promising.",Deepto Chakrabarty; Michael J. Pivovaroff; Lars E. Hernquist; Jeremy S. Heyl; Ramesh Narayan,astro-ph,astro-ph
nucl-th/0001004v1,"Projectile $Δ$ and target-Roper excitation in the p (d, d')X
  reaction","In this paper we compare a model that contains the mechanisms of $\Delta$ excitation in the projectile and Roper excitation in the target with experimental data from two (d, d') experiments on a proton target. The agreement of the theory with the experiment is fair for the data taken at T_d = 2.3 GeV. The $\Delta$ excitation in the projectile is predicted close to the observed energy with the correct width. The theory, however, underpredicts by about 40% the cross sections measured at T_d = 1.6 GeV at angles where the cross section has fallen by about two orders of magnitude. The analysis done here allows to extract an approximate strength for the excitation of the Roper [N^*(1440)] excitation and a qualitative agreement with the theoretical predictions is also found.",S. Hirenzaki; E. Oset; C. Djalali; M. Morlet,nucl-th,nucl-th; nucl-ex
math/0001012v1,Simple Divisibility Rules for the 1st 1000 Prime Numbers,Simple divisibility rules are given for the 1st 1000 prime numbers.,C. C. Briggs,math.GM,math.GM
hep-th/0001010v2,"Instantons, Euclidean supersymmetry and Wick rotations",We discuss the reality properties of the fermionic collective coordinates in Euclidean space in an instanton background and construct hermitean actions for N = 4 and N = 2 supersymmetric Euclidean Yang-Mills theories.,A. V. Belitsky; S. Vandoren; P. van Nieuwenhuizen,hep-th,hep-th
hep-ex/0001005v1,Observation of the Decay $K_L\to μ^+μ^- γγ$,"We have observed the decay $K_L\to \mu^+\mu^- \gamma \gamma$ at the KTeV experiment at Fermilab. This decay presents a formidable background to the search for new physics in $K_L\to\pi^0\mu^+\mu^-$. The 1997 data yielded a sample of 4 signal events, with an expected background of 0.155 $\pm$ 0.081 events. The branching ratio is ${\mathcal B}(K_L\to \mu^+\mu^- \gamma \gamma$) $ = (10.4^{+7.5}_{-5.9} {\rm (stat)} \pm 0.7 {\rm (sys)})\times 10^{-9}$ with $m_{\gamma\gamma} \geq 1 {\rm MeV/c}^2$, consistent with a QED calculation which predicts $(9.1\pm 0.8)\times 10^{-9}$.",A. Alavi-Harati,hep-ex,hep-ex
hep-ex/0001006v1,Search for the Decay $K_L \to π^0 μ^+ μ^-$,"We report on a search for the decay \klpimumu carried out as a part of the KTeV experiment at Fermilab. This decay is expected to have a significant $CP$ violating contribution and a direct measurement will either support the CKM mechanism for CP violation or point to new physics. Two events were observed in the 1997 data with an expected background of $0.87 \pm 0.15$ events, and we set an upper limit \BR{\klpimumu} $ <3.8 \times 10^{-10}$ at the 90% confidence level.",A. Alavi-Harati,hep-ex,hep-ex
astro-ph/0001027v1,Is Thermal Instability Significant in Turbulent Galactic Gas?,"We investigate numerically the role of thermal instability (TI) as a generator of density structures in the interstellar medium (ISM), both by itself and in the context of a globally turbulent medium. Simulations of the instability alone show that the condenstion process which forms a dense phase (``clouds'') is highly dynamical, and that the boundaries of the clouds are accretion shocks, rather than static density discontinuities. The density histograms (PDFs) of these runs exhibit either bimodal shapes or a single peak at low densities plus a slope change at high densities. Final static situations may be established, but the equilibrium is very fragile: small density fluctuations in the warm phase require large variations in the density of the cold phase, probably inducing shocks into the clouds. This result suggests that such configurations are highly unlikely. Simulations including turbulent forcing show that large- scale forcing is incapable of erasing the signature of the TI in the density PDFs, but small-scale, stellar-like forcing causes erasure of the signature of the instability. However, these simulations do not reach stationary regimes, TI driving an ever-increasing star formation rate. Simulations including magnetic fields, self-gravity and the Coriolis force show no significant difference between the PDFs of stable and unstable cases, and reach stationary regimes, suggesting that the combination of the stellar forcing and the extra effective pressure provided by the magnetic field and the Coriolis force overwhelm TI as a density-structure generator in the ISM. We emphasize that a multi-modal temperature PDF is not necessarily an indication of a multi-phase medium, which must contain clearly distinct thermal equilibrium phases.",Enrique Vázquez-Semadeni; Adriana Gazol; John Scalo,astro-ph,astro-ph
cond-mat/0001026v1,"Persistence of Vibrational Modes in a Classical Two-Dimensional Electron
  Liquid","Vibrational density of states of a classical two-dimensional electron system obtained with a molecular-dynamics simulation is shown to have a peak in both solid and liquid phases. From an exact diagonalisation of the dynamical matrix, the peak is identified to be vibrational modes having wavelengths of the order of the electron spacing, and the result is interpreted as persistent vibrational modes with short wavelengths in a liquid.",Satoru Muto; Hideo Aoki,cond-mat.str-el,cond-mat.str-el
hep-ph/0001021v3,"Chiral-Odd Contribution to Single-Transverse Spin Asymmetry in Hadronic
  Pion Production",A formula for the single transverse spin asymmetry in the large-$p_T$ pion production in the nucleon-nucleon collision is derived. We focuss on the chiral-odd contribution where the transversity distribution and the chiral-odd spin-independent twist-3 distribution contributes. This contribution is expected to give rise to a large effect at $x_F\to -1$.,Y. Kanazawa; Yuji Koike,hep-ph,hep-ph
gr-qc/0001005v1,One Proposal about the Nature during Our Time and Space,"It made that the new symmetric property, the binary law, existed newly in our time and space at the thing except the symmetric property of the principle of general relativity which is already known in this paper clear. The introduction of this symmetric property will have made dealing with the position tensor of us handy as much as the surprise.",Koji Ichidayama,gr-qc,gr-qc
astro-ph/0001028v1,The variability analysis of PKS 2155-304,"In this paper, the post-1977 photometric observations of PKS 2155-304 are compiled and used to discuss the variation periodicity. Largest amplitude variations ($\Delta U = 1^{m}.5$; $\Delta B = 1^{m}.65$;   $\Delta V = 1^{m}.85 $; $\Delta R = 1^{m}.25$; $\Delta I = 1^{m}.14 $) and color indices ($(B-V) = 0.30\pm 0.06$; $(U-B) = -0.72\pm 0.08$;   $(B-R) = 0.62\pm 0.07$; $(V-R) = 0.32\pm 0.04$) are found.   The Jurkevich's method and DCF (Discrete Correlation Function) method indicate possible periods of 4.16-year and 7.0-year in the V light curve.",J. H. Fan; R. G. Lin,astro-ph,astro-ph
cond-mat/0001027v1,The Hypergraphite: A possible extension of graphitic network,"We propose a class of networks which can be regarded as an extension of the graphitic network. These networks are constructed so that surface states with non-bonding character (edge states) are formed in a tight-binding model with one orbital for each atomic site. Besides, for several networks, the tight-binding electronic structures become a zero-gap semiconductor. These properties have been found in the $\pi$-electron system of the graphene. Thus, we call these networks hypergraphite.",Y. Takagi; M. Fujita; K. Wakabayashi; M. Igami; S. Okada; K. Nakada; K. Kusakabe,cond-mat.mtrl-sci,cond-mat.mtrl-sci
astro-ph/0001029v1,Long-term Variability Properties and Periodicity Analysis for Blazars,"In this paper, the compiled long-term optical and infrared measurements of some blazars are used to analyze the variation properties and the optical data are used to search for periodicity evidence in the lightcurve by means of the Jurkevich technique and the discrete correlation function (DCF) method. Following periods are found: 4.52-year for 3C 66A; 1.56 and 2.95 years for AO 0235+164;   14.4, 18.6 years for PKS 0735+178; 17.85 and 24.7 years for PKS 0754+100; 5.53 and 11.75 for OJ 287. 4.45, and 6.89 years for PKS 1215; 9 and 14.84 years for PKS 1219+285;   2.0, 13.5 and 22.5 for 3C273; 7.1 year for 3C279;   6.07 for PKS 1308+326; 3.0 and 16.5 years for PKS 1418+546;   2.0 and 9.35 years for PKS 1514-241; 18.18 for PKS 1807+698;   4.16 and 7.0 for 2155-304; 14 and 20 years for BL Lacertae. Some explanations have been discussed.",J. H. Fan,astro-ph,astro-ph
hep-th/0001011v3,"Noncommutativities of D-branes and $θ$-changing Degrees of Freedom
  in D-brane Matrix Models","It is known that when there are several D-branes, their space-time coordinates in general become noncommutative. From the point of view of noncommutative geometry, it reflects noncommutativity of the world volume of the D-branes. On the other hand, as we showed in the previous work, in the presence of the constant antisymmetric tensor field the momentum operators of the D-branes have noncommutative structure. In the present paper, we investigate a relation between these noncommutativities and the description of D-branes in terms of the noncommutative Yang-Mills theory recently proposed by Seiberg and Witten. It is shown that the noncommutativity of the Yang-Mills theory, which implies that of the world volume coordinates, originates from both noncommutativities of the transverse coordinates and momenta from the viewpoint of the lower-dimensional D-branes. Moreover, we show that this noncommutativity is transformed by coordinate transformations on the world volume and thereby can be chosen in an arbitrary fixed value. We also make a brief comment on a relation between this fact and a hidden symmetry of the IIB matrix models.",Tsunehide Kuroki,hep-th,hep-th
cond-mat/0001028v1,Itinerant ferromagnetism in half-metallic CoS_2,"We have investigated electronic and magnetic properties of the pyrite-type CoS_2 using the linearized muffin-tin orbital (LMTO) band method. We have obtained the ferromagnetic ground state with nearly half-metallic nature. The half-metallic stability is studied by using the fixed spin moment method. The non-negligible orbital magnetic moment of Co 3d electrons is obtained as $\mu_L = 0.06 \mu_B$ in the local spin density approximation (LSDA). The calculated ratio of the orbital to spin angular momenta <L_z >/< S_z > = 0.15 is consistent with experiment. The effect of the Coulomb correlation between Co 3d electrons is also explored with the LSDA + U method. The Coulomb correlation at Co sites is not so large, $U \lesssim 1$ eV, and so CoS_2 is possibly categorized as an itinerant ferromagnet. It is found that the observed electronic and magnetic behaviors of CoS_2 can be described better by the LSDA than by the LSDA + U.",S. K. Kwon; S. J. Youn; B. I. Min,cond-mat.str-el,cond-mat.str-el; cond-mat.mtrl-sci
math-ph/0001005v2,Quantization of Poisson algebras associated to Lie algebroids,"We prove the existence of a strict deformation quantization for the canonical Poisson structure on the dual of an integrable Lie algebroid. It follows that any Lie groupoid C*-algebra may be regarded as a result of a quantization procedure. The C*-algebra of the tangent groupoid of a given Lie groupoid G (with Lie algebra g) is the C*-algebra of a continuous field of C*-algebras over R with fibers A_0=C*(g)=C_0(g*) and A_h=C*(G) for nonzero h. The same is true for the corresponding reduced C*-algebras. Our results have applications to, e.g., transformation group C*-algebras, K-theory, and index theory.",N. P. Landsman; B. Ramazan,math-ph,math-ph; math.MP; math.OA; math.QA; math.SG; 46L65; 81S99
cond-mat/0001029v1,"Doppler shift on local density of states and local impurity scattering
  in the vortex state","The vortex state thermal and transport properties of the high T_c copper oxides can be understood in a d-wave gap model and are dominated by the extended quasiparticle states that exist along the nodal directions in momentum space. The Doppler shift on these states due to the circulating supercurrents around the vortex core, introduces new van Hove ridges into the energy dependent local density of states (LDOS) as a function of distance in the region between cores. We emphasize the topology of these ridges and the effect on them of local impurity scattering in Born and unitary limit. We treat possible orthorhombicity. Effective local scttering rates are also obtaines.",E. Schachinger; J. P. Carbotte,cond-mat.supr-con,cond-mat.supr-con
astro-ph/0001030v1,"A Hard Medium Survey with ASCA. III.: a Type 2 AGN revealed from X-ray
  Spectroscopy","In this paper we report the discovery of an hard X-ray selected Type 2 Seyfert galaxy and we present and discuss its X-ray and optical spectrum together with the radio to X-ray energy distribution. The X-ray source - AXJ2254+1146 - is part of the ASCA Hard Serendipitous Survey (HSS). What makes this discovery particularly noteworthy is the fact that the Type 2 classification of this Seyfert galaxy has resulted directly from the X-ray data and has been confirmed by optical spectroscopy only subsequently. The X-ray spectrum of AXJ2254+1146 is best described by a model consisting of an unresolved Gaussian line at $6.43\pm 0.1$ keV plus the so called ""leaky-absorber"" continua having an intrinsic power law photon index of $\Gamma$ = $2.51^{2.76}_{2.17}$ (1 $\sigma$ confidence interval). The best fit values of the absorbing column density ($N_H$ = $1.85^{2.24}_{1.47} \times 10^{23}$ cm$^{-2}$), of the line equivalent width ($0.6^{0.84}_{0.36}$ keV) and of the scattering fraction ($0.7^{1.4}_{0.1} %$), lead us to classify it as a Type 2 AGN from an X-ray point of view. Inspection of the POSS II image reveals the presence, within the ASCA X-ray error circle, of the nearby Sbc spiral galaxy UGC 12237 ($m_{B_o}=14.26$) that, even on positional ground considerations alone, is the most likely optical counterpart of AXJ2254+1146. Subsequent optical spectroscopy of UGC 12237 has confirmed its Seyfert 2 optical nature.",R. Della Ceca; T. Maccacaro; P. Rosati; V. Braito,astro-ph,astro-ph
astro-ph/0001031v1,Multiple Outflows in AFGL 2688,We present high resolution (1.1x0.9'') imaging of the proto-planetary nebula AFGL 2688 in the CO (J=2-1) line using the IRAM interferometer. The observations reveal with unprecedented detail the structure and the kinematics of the gas ejected by the star over the past few hundred years and exemplify the mechanism by which point symmetries are imprinted on the structure of planetary nebulae at early stages of their formation.,Robert Lucas; Pierre Cox; Patrick J. Huggins,astro-ph,astro-ph
hep-ex/0001008v2,Highlights in Neutrino and Astroparticle Physics,The main highlights from the papers presented at this workshop are briefly reviewed and discussed in a general context.,G. Giacomelli,hep-ex,hep-ex
nlin/0001005v1,One-Two Dimensional Nonlinear Pulse Interaction,The peculiar intergrability of the Davey-Stewartson equation allows us to find analytically solutions describing the simultaneous formation and interaction of one-dimensional and two-dimensional localized coherent structures. The predicted phenomenology allows us to address the issue of interaction of solitons of different dimensionality that may serve as a starting point for the understanding of hybrido-dimensional collisions recently observed in nonlinear optical media.,A. Ciattoni; A. Degasperis; E. DelRe,nlin.PS,nlin.PS; nlin.SI
nlin/0001006v1,Q-deformed solitons and quantum solitons of the Maxwell-Bloch lattice,"We report for the first time exact solutions of a completely integrable nonlinear lattice system for which the dynamical variables satisfy a q-deformed Lie algebra - the Lie-Poisson algebra su_q(2). The system considered is a q-deformed lattice for which in continuum limit the equations of motion become the envelope Maxwell-Bloch (or SIT) equations describing the resonant interaction of light with a nonlinear dielectric. Thus the N-soliton solutions we here report are the natural q-deformations, necessary for a lattice, of the well-known multi-soliton and breather solutions of self-induced transparency (SIT). The method we use to find these solutions is a generalization of the Darboux-Backlund dressing method. The extension of these results to quantum solitons is sketched.",Andrei Rybin; Jussi Timonen; Gennadii Varzugin; Robin K. Bullough,nlin.SI,nlin.SI
